"hat";"mean";"se_mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%";"n_eff";"Rhat"
"y_hat[61]";-6.07;0.04;0.79;-7.71;-6.59;-6.02;-5.5;-4.68;368.05;1
"y_hat[62]";-6.21;0.04;0.84;-7.96;-6.77;-6.16;-5.61;-4.76;363.58;1
"y_hat[63]";0.11;0;0.06;0;0.07;0.11;0.15;0.22;2283.38;1
"y_hat[64]";-0.1;0;0.06;-0.22;-0.14;-0.1;-0.06;0.01;1992.93;1
"y_hat[65]";-5.68;0.03;0.67;-7.05;-6.13;-5.65;-5.19;-4.48;382.75;1
"y_hat[66]";-0.29;0;0.06;-0.42;-0.33;-0.29;-0.25;-0.18;1524.03;1
"y_hat[67]";-5.32;0.03;0.57;-6.48;-5.7;-5.3;-4.91;-4.28;401.44;1
"y_hat[68]";-5.77;0.04;0.7;-7.21;-6.24;-5.74;-5.27;-4.53;378.82;1
"y_hat[69]";-0.2;0;0.06;-0.32;-0.24;-0.2;-0.16;-0.09;1721.64;1
"y_hat[70]";-0.2;0;0.06;-0.32;-0.24;-0.2;-0.16;-0.09;1721.64;1
"y_hat[71]";-5.73;0.04;0.69;-7.13;-6.18;-5.69;-5.23;-4.51;380.72;1
"y_hat[72]";0.08;0;0.06;-0.04;0.04;0.08;0.11;0.18;2274.18;1
"y_hat[73]";-5.21;0.03;0.54;-6.32;-5.57;-5.19;-4.82;-4.21;408.63;1
"y_hat[74]";-5.62;0.03;0.65;-6.96;-6.06;-5.59;-5.15;-4.45;385.43;1
"y_hat[75]";-0.93;0;0.08;-1.1;-0.98;-0.93;-0.87;-0.77;893.28;1
"y_hat[76]";-0.93;0;0.08;-1.1;-0.98;-0.93;-0.87;-0.77;893.28;1
"y_hat[77]";-0.06;0;0.06;-0.18;-0.1;-0.06;-0.02;0.05;2075.74;1
"y_hat[78]";-0.26;0;0.06;-0.38;-0.3;-0.26;-0.22;-0.15;1583.1;1
"y_hat[79]";-4.03;0.01;0.3;-4.63;-4.23;-4.03;-3.82;-3.47;577.24;1
"y_hat[80]";-4.03;0.01;0.3;-4.63;-4.23;-4.03;-3.82;-3.47;577.24;1
"y_hat[81]";-0.15;0;0.06;-0.27;-0.19;-0.15;-0.11;-0.04;1894.04;1
"y_hat[82]";-0.5;0;0.07;-0.64;-0.55;-0.5;-0.45;-0.37;957.28;1
"y_hat[83]";-5.3;0.03;0.57;-6.46;-5.68;-5.28;-4.9;-4.27;402.47;1
"y_hat[84]";-0.21;0;0.06;-0.34;-0.25;-0.21;-0.17;-0.1;1686.11;1
"y_hat[85]";-5.67;0.03;0.67;-7.04;-6.12;-5.64;-5.19;-4.48;383.11;1
"y_hat[86]";-5.73;0.04;0.69;-7.13;-6.19;-5.69;-5.23;-4.51;380.66;1
"y_hat[87]";0.06;0;0.06;-0.05;0.02;0.06;0.1;0.17;2263.63;1
"y_hat[88]";-6.68;0.05;1.01;-8.83;-7.35;-6.61;-5.95;-4.96;351.95;1
"y_hat[89]";0.49;0;0.06;0.37;0.45;0.49;0.53;0.61;1200.07;1
"y_hat[90]";0.37;0;0.06;0.26;0.33;0.37;0.41;0.48;1550.4;1
"y_hat[91]";-5.37;0.03;0.59;-6.56;-5.76;-5.35;-4.95;-4.31;398.43;1
"y_hat[92]";-6.38;0.05;0.9;-8.26;-6.98;-6.32;-5.73;-4.84;358.92;1
"y_hat[93]";0.49;0;0.06;0.37;0.45;0.49;0.53;0.61;1200.08;1
"y_hat[94]";-2.2;0;0.12;-2.44;-2.28;-2.19;-2.11;-1.96;2453.73;1
"y_hat[95]";-5.25;0.03;0.55;-6.38;-5.62;-5.23;-4.85;-4.24;405.79;1
"y_hat[96]";-5.74;0.04;0.69;-7.16;-6.2;-5.71;-5.24;-4.51;380.01;1
"y_hat[97]";-0.55;0;0.07;-0.69;-0.59;-0.54;-0.5;-0.42;934.9;1
"y_hat[98]";-0.93;0;0.08;-1.1;-0.98;-0.93;-0.87;-0.78;893.74;1
"y_hat[99]";-0.4;0;0.07;-0.53;-0.44;-0.4;-0.35;-0.28;1029.7;1
"y_hat[100]";-0.73;0;0.08;-0.89;-0.78;-0.73;-0.68;-0.59;885.45;1
"y_hat[101]";0.21;0;0.06;0.1;0.17;0.21;0.25;0.32;2181.83;1
"y_hat[102]";-6.48;0.05;0.93;-8.44;-7.1;-6.41;-5.8;-4.88;356.54;1
"y_hat[103]";-6.59;0.05;0.97;-8.65;-7.24;-6.52;-5.89;-4.93;353.93;1
"y_hat[104]";-6.25;0.04;0.85;-8.02;-6.81;-6.19;-5.64;-4.77;362.55;1
"y_hat[105]";-6.47;0.05;0.93;-8.42;-7.09;-6.4;-5.8;-4.88;356.77;1
"y_hat[106]";0.36;0;0.06;0.25;0.32;0.36;0.4;0.47;1580.88;1
"y_hat[107]";0.42;0;0.06;0.31;0.38;0.42;0.46;0.54;1360.66;1
"y_hat[108]";-5.27;0.03;0.56;-6.4;-5.64;-5.24;-4.87;-4.25;404.88;1
"y_hat[109]";-6.01;0.04;0.77;-7.6;-6.52;-5.96;-5.45;-4.65;370.02;1
"y_hat[110]";0.1;0;0.06;-0.01;0.07;0.1;0.14;0.21;2283.05;1
"y_hat[111]";-1.05;0;0.09;-1.22;-1.1;-1.05;-0.99;-0.89;923.05;1
"y_hat[112]";-5.15;0.03;0.53;-6.22;-5.51;-5.14;-4.77;-4.18;412.63;1
"y_hat[113]";-5.55;0.03;0.64;-6.85;-5.98;-5.52;-5.09;-4.41;388.65;1
"y_hat[114]";0.48;0;0.06;0.37;0.44;0.48;0.52;0.6;1203.98;1
"y_hat[115]";0.18;0;0.06;0.06;0.14;0.18;0.21;0.28;2239.04;1
"y_hat[116]";-0.38;0;0.07;-0.51;-0.43;-0.38;-0.34;-0.26;1045.99;1
"y_hat[117]";-4.44;0.02;0.37;-5.18;-4.68;-4.43;-4.17;-3.74;490.61;1
"y_hat[118]";-5.85;0.04;0.72;-7.33;-6.33;-5.81;-5.33;-4.57;375.79;1
"y_hat[119]";-0.74;0;0.08;-0.9;-0.79;-0.73;-0.68;-0.6;885.19;1
"y_hat[120]";-5.96;0.04;0.76;-7.52;-6.46;-5.92;-5.42;-4.63;371.64;1
"y_hat[121]";-6.32;0.05;0.88;-8.14;-6.9;-6.25;-5.69;-4.81;360.64;1
"y_hat[122]";-0.02;0;0.06;-0.14;-0.06;-0.02;0.02;0.08;2149.38;1
"y_hat[123]";-1.95;0;0.11;-2.17;-2.03;-1.95;-1.88;-1.72;2146.86;1
"y_hat[124]";-5.54;0.03;0.63;-6.83;-5.96;-5.51;-5.08;-4.4;389.27;1
"y_hat[125]";-6.52;0.05;0.95;-8.51;-7.15;-6.45;-5.83;-4.9;355.63;1
"y_hat[126]";-0.52;0;0.07;-0.67;-0.57;-0.52;-0.48;-0.4;945.57;1
"y_hat[127]";-4.9;0.02;0.47;-5.85;-5.21;-4.88;-4.56;-4.04;433.63;1
"y_hat[128]";-5.83;0.04;0.72;-7.3;-6.3;-5.79;-5.31;-4.56;376.58;1
"y_hat[129]";0.33;0;0.06;0.22;0.29;0.33;0.37;0.44;1699.86;1
"y_hat[130]";0.15;0;0.06;0.03;0.11;0.15;0.18;0.25;2269.27;1
"y_hat[131]";0.26;0;0.06;0.15;0.22;0.26;0.3;0.37;1991.85;1
"y_hat[132]";-0.28;0;0.06;-0.4;-0.32;-0.28;-0.24;-0.16;1548.69;1
"y_hat[133]";-5.45;0.03;0.61;-6.69;-5.86;-5.43;-5.02;-4.36;393.83;1
"y_hat[134]";0.01;0;0.06;-0.1;-0.02;0.01;0.05;0.12;2208.18;1
"y_hat[135]";-5.42;0.03;0.6;-6.64;-5.82;-5.4;-4.99;-4.34;395.55;1
"y_hat[136]";0.16;0;0.06;0.04;0.12;0.16;0.19;0.26;2261.43;1
"y_hat[137]";-5.88;0.04;0.73;-7.39;-6.37;-5.84;-5.35;-4.59;374.48;1
"y_hat[138]";-3.61;0.01;0.24;-4.09;-3.78;-3.61;-3.45;-3.16;744.56;1
"y_hat[139]";-6.11;0.04;0.81;-7.79;-6.65;-6.06;-5.54;-4.71;366.51;1
"y_hat[140]";-5.26;0.03;0.56;-6.4;-5.63;-5.24;-4.86;-4.24;405.15;1
"y_hat[141]";-5.65;0.03;0.66;-7.01;-6.1;-5.62;-5.17;-4.46;383.89;1
"y_hat[142]";-5.3;0.03;0.57;-6.45;-5.68;-5.27;-4.89;-4.27;402.91;1
"y_hat[143]";-0.22;0;0.06;-0.34;-0.26;-0.22;-0.18;-0.1;1677.51;1
