"shore";"ref_ecotype";"distAlongPath";"length_mm";"test_sex";"dur_mean";"dur_max";"mountYN";"size_ratio";"size_ratio2";"log_male";"log_female";"shape";"y_rep";"y_rep_se";"preds";"uci_preds";"lci_preds";"y_preds"
"CZB";"wave";101.0587678;10.470164;"male";NA;NA;0;-0.759294483;0.576528113;2.348529689;1.589235205;0.054174769;0.04175;0.00329539259855118;0.043;0.06;0.03;0
"CZB";"wave";101.0587678;10.470164;"male";NA;NA;0;-0.492231698;0.242292045;2.348529689;1.85629799;0.054174769;0.16575;0.00595742007958833;0.157;0.186;0.132;0
"CZB";"crab";101.0587678;10.470164;"male";32;53;1;0.119569843;0.014296947;2.348529689;2.468099531;0.054174769;0.5855;0.00793699975858533;0.592;0.619;0.565;1
"CZB";"crab";101.0587678;10.470164;"male";NA;NA;0;0.268866144;0.072289004;2.348529689;2.617395833;0.054174769;0.6225;0.00766571120523533;0.619;0.648;0.592;0
"CZC";"crab";101.0683762;11.94624419;"male";NA;NA;0;0.158640394;0.025166775;2.480416935;2.63905733;0.04741882;0.595;0.00776265513234202;0.603;0.63;0.576;1
"CZA";"wave";101.1044846;6.682778571;"female";2.75;4;1;0.481256448;0.231607769;1.418277407;1.899533855;0.003969345;0.59575;0.0077603505162482;0.594;0.623;0.565;1
"CZC";"wave";101.1264683;11.82988332;"male";NA;NA;0;-0.902012897;0.813627266;2.470628815;1.568615918;0.082686364;0.0215;0.00245773240219671;0.02;0.033;0.011;0
"CZC";"wave";101.1264683;11.82988332;"male";NA;NA;0;-0.568521288;0.323216455;2.470628815;1.902107526;0.082686364;0.1135;0.00510525553722017;0.112;0.137;0.091;0
"CZC";"crab";101.1264683;11.82988332;"male";13.5;16;1;-0.188246429;0.035436718;2.470628815;2.282382386;0.082686364;0.406;0.00789490576694732;0.408;0.438;0.377;1
"CZC";"crab";101.1264683;11.82988332;"male";NA;NA;0;-0.002529283;6.4e-06;2.470628815;2.468099531;0.082686364;0.54575;0.00787351461757126;0.54;0.565;0.513;1
"CZC";"wave";101.3759431;13.45492365;"male";NA;NA;0;-0.558124781;0.311503271;2.59934511;2.041220329;0.042643272;0.1225;0.0051846077517383;0.118;0.143;0.096;1
"CZC";"crab";101.3759431;13.45492365;"male";NA;NA;0;0.003344576;1.12e-05;2.59934511;2.602689685;0.042643272;0.54975;0.00790791022259569;0.543;0.568;0.516;0
"CZC";"crab";101.3759431;13.45492365;"male";NA;NA;0;0.03971222;0.00157706;2.59934511;2.63905733;0.042643272;0.55975;0.00786505794953521;0.561;0.587;0.535;0
"CZA";"crab";101.5647641;3.928967704;"male";2;2;1;1.20423551;1.450183163;1.368376721;2.57261223;-0.069208635;0.2135;0.00651938501729963;0.213;0.247;0.182;0
"CZD";"wave";101.6662276;9.567106284;"male";NA;NA;0;-1.005567818;1.011166636;2.258330786;1.252762968;0.015971964;0.01375;0.00184810219037462;0.011;0.023;0.005;0
"CZD";"crab";101.6662276;9.567106284;"male";5;5;1;0.175282569;0.030723979;2.258330786;2.433613355;0.015971964;0.59575;0.0077603505162482;0.607;0.634;0.579;1
"CZD";"crab";101.8186606;10.30542297;"female";NA;NA;0;-0.168765693;0.028481859;2.501435952;2.332670259;0.093326133;0.43375;0.00807370991729785;0.424;0.454;0.394;1
"CZD";"wave";101.8186606;10.30542297;"female";NA;NA;0;0.851065718;0.724312856;1.481604541;2.332670259;0.093326133;0.4205;0.00780609833994059;0.413;0.452;0.375;1
"CZC";"wave";102.2387037;9.194407295;"male";NA;NA;0;-0.783510871;0.613889285;2.218595396;1.435084525;0.056585551;0.03675;0.00297524324939966;0.038;0.054;0.026;0
"CZC";"crab";102.2387037;9.194407295;"male";17;17;1;0.12321041;0.015180805;2.218595396;2.341805806;0.056585551;0.59475;0.0077634191593821;0.593;0.62;0.566;1
"CZC";"crab";102.2387037;9.194407295;"male";4.5;5;1;0.398800436;0.159041788;2.218595396;2.617395833;0.056585551;0.609;0.00771651710028817;0.612;0.641;0.584;0
"CZC";"crab";102.3073155;10.80256068;"female";16;30;1;0.009539465;9.1e-05;2.370243741;2.379783206;0.041139264;0.5475;0.00794745083449775;0.546;0.572;0.52;1
"CZC";"wave";102.3073155;10.80256068;"female";NA;NA;0;1.044782139;1.091569719;1.335001067;2.379783206;0.041139264;0.28525;0.00714026296531181;0.295;0.331;0.261;0
"CZC";"crab";102.3229105;12.28735961;"male";55;55;1;-0.18618334;0.034664236;2.50857106;2.32238772;0.086700423;0.415;0.00860375296411934;0.41;0.44;0.379;1
"CZC";"crab";102.3229105;12.28735961;"male";NA;NA;0;-0.083768334;0.007017134;2.50857106;2.424802726;0.086700423;0.48925;0.00790485490428284;0.489;0.516;0.461;1
"CZC";"wave";102.422103;10.76120729;"male";NA;NA;0;-0.36104473;0.130353297;2.37594775;2.014903021;0.095354459;0.25;0.00709026932895465;0.258;0.29;0.226;0
"CZC";"wave";102.422103;10.76120729;"male";NA;NA;0;-0.259692235;0.067440057;2.37594775;2.116255515;0.095354459;0.33975;0.00748959330517814;0.346;0.379;0.314;1
"CZC";"wave";102.5185357;11.14928316;"male";NA;NA;0;-0.149612107;0.022383782;2.411375205;2.261763098;0.068421767;0.434;0.00783749683184289;0.44;0.469;0.41;0
"CZC";"wave";102.5185357;11.14928316;"male";53;53;1;-0.098839781;0.009769302;2.411375205;2.312535424;0.068421767;0.4695;0.00789195845478567;0.478;0.506;0.45;1
"CZC";"crab";102.5185357;11.14928316;"male";38;38;1;-0.022612416;0.000511321;2.411375205;2.388762789;0.068421767;0.53175;0.00789072558530365;0.528;0.554;0.501;1
"CZC";"crab";102.5185357;11.14928316;"male";31;31;1;0.065163195;0.004246242;2.411375205;2.4765384;0.068421767;0.57225;0.00801195223435815;0.572;0.598;0.546;1
"CZC";"wave";102.5240272;11.1726655;"male";NA;NA;0;-0.359346481;0.129129894;2.413470215;2.054123734;0.061309607;0.2615;0.0069624617640946;0.259;0.292;0.227;0
"CZC";"crab";102.5240272;11.1726655;"male";29;29;1;-0.015574942;0.000242579;2.413470215;2.397895273;0.061309607;0.539;0.0080370909581915;0.532;0.558;0.506;1
"CZC";"crab";102.5240272;11.1726655;"male";33;45;1;0.112258429;0.012601955;2.413470215;2.525728644;0.061309607;0.5855;0.00795033873182533;0.59;0.616;0.563;1
"CZC";"wave";102.6766326;7.370849441;"male";NA;NA;0;-0.689200136;0.474996828;1.997532956;1.30833282;0.043490272;0.06225;0.00382065226380657;0.062;0.081;0.047;1
"CZC";"wave";102.6766326;7.370849441;"male";NA;NA;0;-0.239675039;0.057444124;1.997532956;1.757857918;0.043490272;0.3715;0.00781921821704555;0.364;0.396;0.331;0
"CZC";"crab";102.6766326;7.370849441;"male";5.333333333;8;1;0.334610939;0.111964481;1.997532956;2.332143895;0.043490272;0.622;0.00766770489942109;0.619;0.648;0.592;1
"CZC";"crab";102.6766326;7.370849441;"male";NA;NA;0;0.462055886;0.213495641;1.997532956;2.459588842;0.043490272;0.60175;0.00774123478871514;0.599;0.628;0.57;1
"CZB";"crab";102.8281673;11.21716601;"female";NA;NA;0;0.500522672;0.250522945;1.916922612;2.417445284;0.071030066;0.58625;0.00786842940304955;0.589;0.618;0.559;0
"CZB";"crab";102.8281673;11.21716601;"female";50;50;1;-0.199950548;0.039980222;2.617395833;2.417445284;0.071030066;0.417;0.0077969832779774;0.398;0.429;0.367;0
"CZB";"wave";102.8281673;11.21716601;"female";NA;NA;0;0.659587367;0.435055495;1.757857918;2.417445284;0.071030066;0.52525;0.00816397713742761;0.524;0.558;0.489;1
"CZA";"crab";103.0428275;7.635431234;"female";20.33333333;43;1;-0.32427386;0.105153536;2.357073278;2.032799418;-0.034644845;0.29075;0.00722757611900734;0.289;0.322;0.257;1
"CZA";"wave";103.0428275;7.635431234;"female";NA;NA;0;0.754647216;0.56949242;1.278152203;2.032799418;-0.034644845;0.464;0.0078861617969055;0.472;0.51;0.434;0
"CZB";"wave";103.2220585;10.16177709;"male";NA;NA;0;-0.689392798;0.475262429;2.318633337;1.62924054;-0.021647213;0.063;0.00400375208580861;0.062;0.081;0.047;0
"CZB";"crab";103.2220585;10.16177709;"male";NA;NA;0;-0.416525811;0.173493751;2.318633337;1.902107526;-0.021647213;0.212;0.00646331521828409;0.212;0.244;0.183;0
"CZB";"wave";103.2220585;10.16177709;"male";NA;NA;0;-0.387111926;0.149855643;2.318633337;1.931521412;-0.021647213;0.243;0.00699681286899959;0.236;0.268;0.205;0
"CZB";"crab";103.2220585;10.16177709;"male";69;69;1;0.199063135;0.039626132;2.318633337;2.517696473;-0.021647213;0.60875;0.00771739910444149;0.612;0.639;0.584;1
"CZB";"wave";103.2851125;10.1471171;"male";NA;NA;0;-0.813112239;0.661151513;2.317189636;1.504077397;0.04492828;0.0335;0.00284542819543981;0.032;0.047;0.021;0
"CZB";"wave";103.2851125;10.1471171;"male";NA;NA;0;-0.630790682;0.397896885;2.317189636;1.686398954;0.04492828;0.0915;0.00459224419820995;0.083;0.105;0.065;0
"CZB";"crab";103.2851125;10.1471171;"male";10;10;1;0.142399206;0.020277534;2.317189636;2.459588842;0.04492828;0.602;0.00825169663162976;0.599;0.625;0.572;0
"CZB";"crab";103.2851125;10.1471171;"male";41.5;76;1;0.208539009;0.043488518;2.317189636;2.525728644;0.04492828;0.61125;0.00770848328490361;0.613;0.64;0.586;0
"CZB";"wave";103.3939458;11.76987533;"male";NA;NA;0;-0.876308124;0.767915928;2.465543329;1.589235205;0.047284855;0.0205;0.00224080182037581;0.023;0.037;0.013;0
"CZB";"wave";103.3939458;11.76987533;"male";NA;NA;0;-0.534021917;0.285179408;2.465543329;1.931521412;0.047284855;0.1195;0.00519738920575452;0.131;0.158;0.108;0
"CZB";"crab";103.3939458;11.76987533;"male";NA;NA;0;0.122220706;0.014937901;2.465543329;2.587764035;0.047284855;0.588;0.00794302807746451;0.593;0.619;0.566;0
"CZB";"crab";103.3939458;11.76987533;"male";5;5;1;0.144526464;0.020887899;2.465543329;2.610069793;0.047284855;0.59675;0.00775724842329902;0.6;0.626;0.572;0
"CZB";"wave";103.4399998;9.872357334;"male";NA;NA;0;-0.700503458;0.490705095;2.289738663;1.589235205;0.053812448;0.06325;0.00384916398596471;0.059;0.077;0.044;1
"CZB";"wave";103.4399998;9.872357334;"male";NA;NA;0;-0.566972065;0.321457323;2.289738663;1.722766598;0.053812448;0.1095;0.00499134634286726;0.113;0.138;0.091;0
"CZB";"crab";103.4399998;9.872357334;"male";4;4;1;0.126175115;0.01592016;2.289738663;2.415913778;0.053812448;0.586;0.00778884885856924;0.594;0.621;0.567;1
"CZB";"crab";103.4399998;9.872357334;"male";21;21;1;0.305516044;0.093340053;2.289738663;2.595254707;0.053812448;0.60825;0.0078270702230419;0.62;0.649;0.593;1
"CZB";"wave";103.9092728;9.765139521;"male";NA;NA;0;-0.611112032;0.373457915;2.278818852;1.667706821;0.052188767;0.1;0.00474400952851084;0.092;0.114;0.072;0
"CZB";"crab";103.9092728;9.765139521;"male";NA;NA;0;-0.19937731;0.039751312;2.278818852;2.079441542;0.052188767;0.395;0.0079168602583995;0.399;0.429;0.368;0
"CZB";"crab";103.9092728;9.765139521;"male";5.5;9;1;-0.138752689;0.019252309;2.278818852;2.140066163;0.052188767;0.45;0.00786704980397064;0.448;0.477;0.419;1
"CZD";"wave";103.9157219;11.31631266;"male";NA;NA;0;-0.739846329;0.547372591;2.426245283;1.686398954;0.006968828;0.04675;0.00339996521646075;0.048;0.065;0.034;0
"CZD";"crab";103.9157219;11.31631266;"male";NA;NA;0;0.058661367;0.003441156;2.426245283;2.48490665;0.006968828;0.56225;0.00784516545588795;0.57;0.596;0.543;0
"CZD";"crab";103.9157219;11.31631266;"male";NA;NA;0;0.107451531;0.011545832;2.426245283;2.533696814;0.006968828;0.5845;0.0081593710451328;0.588;0.615;0.561;0
"CZB";"crab";104.3329267;15.50581804;"female";NA;NA;0;0.637081157;0.4058724;2.104134154;2.741215311;0.026673715;0.533;0.00833951610742441;0.535;0.568;0.501;0
"CZB";"crab";104.3329267;15.50581804;"female";45;45;1;0.448680554;0.201314239;2.292534757;2.741215311;0.026673715;0.6185;0.00782711628562408;0.603;0.632;0.574;1
"CZB";"wave";104.3329267;15.50581804;"female";NA;NA;0;1.609813199;2.591498537;1.131402111;2.741215311;0.026673715;0.10375;0.00482206360901247;0.1;0.167;0.056;0
"CZB";"wave";104.3329267;15.50581804;"female";NA;NA;0;1.488452342;2.215490376;1.252762968;2.741215311;0.026673715;0.1285;0.0053026974628635;0.122;0.176;0.081;0
"CZC";"wave";104.4799109;12.1650129;"male";NA;NA;0;-1.245801068;1.552020301;2.498564037;1.252762968;0.016254381;0.0035;0.000933892680603463;0.003;0.011;0.001;0
