"params";"CZA";"CZB";"CZC";"CZD"
"cl";1.51;0.31;0.86;0.26
"cr";1.33;1.68;1.9;1.58
"wl";3.84;0.81;3.73;0
"wr";4.01;7.6;5.24;4.35
"crab";0.02;0.04;0.04;0.03
"wave";0.03;0.02;0.03;0.03
"zs_c";0.03;0.03;0.03;0.04
"zs_w";0.03;0.02;0.03;0.03
"sc";0.01;0.01;0.01;0.01
"sh";0.07;0.04;0.05;0.07
"sw";0.02;0.02;0.01;0.03
