"rep";"y_rep"
"y_rep[232]";0.0055
"y_rep[233]";0.49725
"y_rep[234]";0.09075
"y_rep[235]";0.0075
"y_rep[236]";0.00375
"y_rep[237]";0.3795
"y_rep[238]";0.354
"y_rep[239]";0.491
"y_rep[240]";0.47275
"y_rep[241]";0.15425
"y_rep[242]";0.467
"y_rep[243]";0.5935
"y_rep[244]";0.21575
"y_rep[245]";0.57975
"y_rep[246]";0.05225
"y_rep[247]";0.007
"y_rep[248]";0.5925
"y_rep[249]";0.55625
"y_rep[250]";0.0035
"y_rep[251]";0.0065
"y_rep[252]";0.00525
"y_rep[253]";0.00675
"y_rep[254]";0.401
"y_rep[255]";0.00875
"y_rep[256]";0.35275
"y_rep[257]";0.00875
"y_rep[258]";0.00575
"y_rep[259]";0.38425
"y_rep[260]";0.21675
"y_rep[261]";0.003
"y_rep[262]";0.48775
"y_rep[263]";0.4405
"y_rep[264]";0.01075
"y_rep[265]";0.00975
"y_rep[266]";0.55175
"y_rep[267]";0.1265
"y_rep[268]";0.01625
"y_rep[269]";0.00675
"y_rep[270]";0.5845
"y_rep[271]";0.56175
"y_rep[272]";0.004
"y_rep[273]";0.00225
"y_rep[274]";0.6055
"y_rep[275]";0.569
"y_rep[276]";0.0105
"y_rep[277]";0.48025
"y_rep[278]";0.01225
"y_rep[279]";0.00775
"y_rep[280]";0.4675
"y_rep[281]";0.4105
"y_rep[282]";0.01125
"y_rep[283]";0.007
"y_rep[284]";0.009
"y_rep[285]";0.00625
"y_rep[286]";0.40325
"y_rep[287]";0.35325
"y_rep[288]";0.1775
"y_rep[289]";0.233
"y_rep[290]";0.17975
"y_rep[291]";0.6095
"y_rep[292]";0.5875
"y_rep[293]";0.012
"y_rep[294]";0.0655
"y_rep[295]";0.01575
"y_rep[296]";0.4115
"y_rep[297]";0.0185
"y_rep[298]";0.34725
"y_rep[299]";0.0245
"y_rep[300]";0.00425
"y_rep[301]";0.56075
"y_rep[302]";0.00625
"y_rep[303]";0.0115
"y_rep[304]";0.424
"y_rep[305]";0.01875
"y_rep[306]";0.016
"y_rep[307]";0.5945
"y_rep[308]";0.573
"y_rep[309]";0.48
"y_rep[310]";0.006
"y_rep[311]";0.0035
"y_rep[312]";0.57025
"y_rep[313]";0.008
"y_rep[314]";0.005
"y_rep[315]";0.24025
"y_rep[316]";0.152
"y_rep[317]";0.00675
"y_rep[318]";0.5305
"y_rep[319]";0.52275
"y_rep[320]";0.4455
"y_rep[321]";0.1865
"y_rep[322]";0.017
"y_rep[323]";0.45325
"y_rep[324]";0.59975
"y_rep[325]";0.0125
"y_rep[326]";0.01775
"y_rep[327]";0.00525
"y_rep[328]";0.003
"y_rep[329]";0.01525
"y_rep[330]";0.008
"y_rep[331]";0.078
"y_rep[332]";0.00425
"y_rep[333]";0.5935
"y_rep[334]";0.007
"y_rep[335]";0.5565
"y_rep[336]";0.007
"y_rep[337]";0.00825
"y_rep[338]";0.624
"y_rep[339]";0.4355
"y_rep[340]";0.14225
"y_rep[341]";0.42575
"y_rep[342]";0.27275
"y_rep[343]";0.60675
"y_rep[344]";0.60475
"y_rep[345]";0.5905
"y_rep[346]";0.61525
"y_rep[347]";0.61775
"y_rep[348]";0.04575
"y_rep[349]";0.558
"y_rep[350]";0.008
"y_rep[351]";0.59175
"y_rep[352]";0.516
"y_rep[353]";0.38175
"y_rep[354]";0.02325
"y_rep[355]";0.009
"y_rep[356]";0.00575
"y_rep[357]";0.58275
"y_rep[358]";0.01475
"y_rep[359]";0.0095
"y_rep[360]";0.586
"y_rep[361]";0.6165
"y_rep[362]";0.00725
"y_rep[363]";0.01125
"y_rep[364]";0.011
"y_rep[365]";0.58125
"y_rep[366]";0.51725
"y_rep[367]";0.01225
"y_rep[368]";0.007
"y_rep[369]";0.61875
"y_rep[370]";0.58825
"y_rep[371]";0.016
"y_rep[372]";0.5745
"y_rep[373]";0.013
"y_rep[374]";0.0245
"y_rep[375]";0.39525
"y_rep[376]";0.0375
"y_rep[377]";0.0065
"y_rep[378]";0.00475
"y_rep[379]";0.01575
"y_rep[380]";0.0105
"y_rep[381]";0.002
"y_rep[382]";0.01425
"y_rep[383]";0.4695
"y_rep[384]";0.3985
"y_rep[385]";0.614
"y_rep[386]";0.61475
"y_rep[387]";0.59925
"y_rep[388]";0.019
"y_rep[389]";0.459
"y_rep[390]";0.323
"y_rep[391]";0.00975
"y_rep[392]";0.54125
"y_rep[393]";0.3475
"y_rep[394]";0.02025
"y_rep[395]";0.01
"y_rep[396]";0.0055
"y_rep[397]";0.0185
"y_rep[398]";0.01375
"y_rep[399]";0.625
"y_rep[400]";0.19775
"y_rep[401]";0.0045
"y_rep[402]";0.61425
"y_rep[403]";0.57625
"y_rep[404]";0.01825
"y_rep[405]";0.5895
"y_rep[406]";0.01875
"y_rep[407]";0.0165
"y_rep[408]";0.609
"y_rep[409]";0.01075
"y_rep[410]";0.00975
"y_rep[411]";0.004
"y_rep[412]";0.60625
"y_rep[413]";0.428
"y_rep[414]";0.108
"y_rep[415]";0.52475
"y_rep[416]";0.4205
"y_rep[417]";0.62175
"y_rep[418]";0.0965
"y_rep[419]";0.0135
"y_rep[420]";0.027
