shore;ref_ecotype;distAlongPath;test_sex;dur_mean;dur_max;mountYN;size_ratio;size_ratio2;log_male;log_female;shape
CZC;crab;11.67136372;male;53;53;1;1.033739261;1.068616859;1.345806873;2.379546134;-0.051950134
CZC;crab;50.06712982;male;100;100;1;0.636968415;0.405728762;1.742577719;2.379546134;0.006524038
CZD;crab;23.00500987;male;42;42;1;0.543586738;0.295486542;1.835959396;2.379546134;-0.094042109
CZD;crab;40.04751849;male;NA;NA;0;1.006741811;1.013529075;1.372804323;2.379546134;-0.125703621
CZD;crab;63.67977945;male;NA;NA;0;0.268787886;0.072246927;2.110758249;2.379546134;0.030797281
CZD;crab;75.59856941;male;NA;NA;0;-0.05876981;0.003453891;2.438315944;2.379546134;0.100931332
CZD;crab;132.2722469;male;NA;NA;0;0.049249006;0.002425465;2.330297128;2.379546134;0.0380307
CZD;crab;180.2013076;male;NA;NA;0;1.166003909;1.359565116;1.213542225;2.379546134;-0.075870269
CZA;crab;229.6207038;male;9;9;1;-0.233921984;0.054719495;2.613468119;2.379546134;0.030391388
CZA;crab;258.3582594;female;NA;NA;0;0.183485387;0.033666887;2.196112848;2.379598236;0.05654269
CZA;crab;258.3582594;female;29;52;1;-0.160427713;0.025737051;2.540025949;2.379598236;0.05654269
CZC;crab;102.3073155;female;16;30;1;0.009539465;9.1e-05;2.370243741;2.379783206;0.041139264
CZC;wave;102.3073155;female;NA;NA;0;1.044782139;1.091569719;1.335001067;2.379783206;0.041139264
CZC;crab;90.29552993;female;51;51;1;0.07725336;0.005968082;2.302585093;2.379838453;0.087453126
CZC;crab;90.29552993;female;NA;NA;0;-0.071166646;0.005064691;2.451005098;2.379838453;0.087453126
CZC;wave;90.29552993;female;NA;NA;0;1.071505633;1.148124321;1.30833282;2.379838453;0.087453126
CZB;crab;110.6286;female;NA;NA;0;0.195059976;0.038048394;2.186051277;2.381111253;0.04058193
CZB;crab;110.6286;female;57;63;1;-0.034802525;0.001211216;2.415913778;2.381111253;0.04058193
CZB;wave;110.6286;female;NA;NA;0;1.249709142;1.561772939;1.131402111;2.381111253;0.04058193
CZB;wave;110.6286;female;3.2;6;1;0.606158902;0.367428615;1.774952351;2.381111253;0.04058193
CZC;crab;48.43907178;female;125;125;1;0.129918021;0.016878692;2.251291799;2.38120982;-0.013518303
CZC;crab;48.43907178;female;28.5;46;1;0.109083934;0.011899305;2.272125886;2.38120982;-0.013518303
CZC;wave;48.43907178;female;9;9;1;1.046208753;1.094552755;1.335001067;2.38120982;-0.013518303
CZC;wave;48.43907178;female;4;4;1;1.020233267;1.040875918;1.360976553;2.38120982;-0.013518303
CZA;crab;235.4218329;male;NA;NA;0;-0.16892577;0.028535916;2.550322043;2.381396273;0.02992116
CZB;crab;124.2325912;female;NA;NA;0;-0.034353878;0.001180189;2.415913778;2.381559901;0.027347346
CZB;crab;124.2325912;female;18;18;1;-0.103346749;0.010680551;2.48490665;2.381559901;0.027347346
CZB;wave;124.2325912;female;NA;NA;0;1.020583347;1.041590369;1.360976553;2.381559901;0.027347346
CZA;wave;290.8398666;female;NA;NA;0;0.884866844;0.782989332;1.499623046;2.384489891;-0.021793512
CZA;wave;290.8398666;female;NA;NA;0;0.799344671;0.638951903;1.58514522;2.384489891;-0.021793512
CZA;crab;210.1799232;female;NA;NA;0;-0.045448876;0.0020656;2.431857429;2.386408552;0.065844799
CZA;crab;265.3100084;male;NA;NA;0;0.003744348;1.4e-05;2.383181894;2.386926241;0.050357713
CZA;crab;234.8586823;male;5;5;1;0.058794758;0.003456824;2.329050179;2.387844937;0.059649844
CZA;crab;234.7904154;male;NA;NA;0;-0.049565609;0.00245675;2.437410546;2.387844937;0.070780549
